row_id,cyberbullying_type
2,not_cyberbullying
4,not_cyberbullying
6,not_cyberbullying
7,not_cyberbullying
8,not_cyberbullying
9,not_cyberbullying
10,not_cyberbullying
13,not_cyberbullying
14,not_cyberbullying
16,not_cyberbullying
17,not_cyberbullying
18,not_cyberbullying
19,not_cyberbullying
20,not_cyberbullying
21,not_cyberbullying
22,not_cyberbullying
27,not_cyberbullying
28,not_cyberbullying
31,not_cyberbullying
32,not_cyberbullying
35,not_cyberbullying
36,not_cyberbullying
37,not_cyberbullying
39,not_cyberbullying
41,not_cyberbullying
42,not_cyberbullying
43,not_cyberbullying
44,not_cyberbullying
46,not_cyberbullying
47,not_cyberbullying
49,not_cyberbullying
50,not_cyberbullying
52,not_cyberbullying
53,not_cyberbullying
55,not_cyberbullying
56,not_cyberbullying
58,not_cyberbullying
59,not_cyberbullying
60,not_cyberbullying
61,not_cyberbullying
62,not_cyberbullying
63,not_cyberbullying
65,not_cyberbullying
68,not_cyberbullying
69,not_cyberbullying
71,not_cyberbullying
72,not_cyberbullying
75,not_cyberbullying
76,not_cyberbullying
78,not_cyberbullying
79,not_cyberbullying
82,not_cyberbullying
83,not_cyberbullying
84,not_cyberbullying
85,not_cyberbullying
86,not_cyberbullying
89,not_cyberbullying
91,not_cyberbullying
92,not_cyberbullying
93,not_cyberbullying
96,not_cyberbullying
97,not_cyberbullying
98,not_cyberbullying
99,not_cyberbullying
101,not_cyberbullying
102,not_cyberbullying
104,not_cyberbullying
105,not_cyberbullying
107,not_cyberbullying
110,not_cyberbullying
112,not_cyberbullying
115,not_cyberbullying
116,not_cyberbullying
117,not_cyberbullying
118,not_cyberbullying
119,not_cyberbullying
120,not_cyberbullying
121,not_cyberbullying
122,not_cyberbullying
124,not_cyberbullying
125,not_cyberbullying
127,not_cyberbullying
128,not_cyberbullying
130,not_cyberbullying
133,not_cyberbullying
134,not_cyberbullying
135,not_cyberbullying
136,not_cyberbullying
138,not_cyberbullying
139,not_cyberbullying
140,not_cyberbullying
141,not_cyberbullying
142,not_cyberbullying
143,not_cyberbullying
144,not_cyberbullying
146,not_cyberbullying
147,not_cyberbullying
148,not_cyberbullying
149,not_cyberbullying
150,not_cyberbullying
151,not_cyberbullying
152,not_cyberbullying
156,not_cyberbullying
157,not_cyberbullying
160,not_cyberbullying
161,not_cyberbullying
162,not_cyberbullying
163,not_cyberbullying
165,not_cyberbullying
168,not_cyberbullying
169,not_cyberbullying
173,not_cyberbullying
174,not_cyberbullying
176,not_cyberbullying
178,not_cyberbullying
179,not_cyberbullying
182,not_cyberbullying
183,not_cyberbullying
184,not_cyberbullying
186,not_cyberbullying
189,not_cyberbullying
190,not_cyberbullying
193,not_cyberbullying
194,not_cyberbullying
197,not_cyberbullying
199,not_cyberbullying
200,not_cyberbullying
202,not_cyberbullying
205,not_cyberbullying
206,not_cyberbullying
207,not_cyberbullying
210,not_cyberbullying
213,not_cyberbullying
215,not_cyberbullying
216,not_cyberbullying
217,not_cyberbullying
218,not_cyberbullying
221,not_cyberbullying
222,not_cyberbullying
223,not_cyberbullying
224,not_cyberbullying
225,not_cyberbullying
226,not_cyberbullying
227,not_cyberbullying
228,not_cyberbullying
230,not_cyberbullying
231,not_cyberbullying
232,not_cyberbullying
233,not_cyberbullying
234,not_cyberbullying
235,not_cyberbullying
238,not_cyberbullying
239,not_cyberbullying
240,not_cyberbullying
241,not_cyberbullying
242,not_cyberbullying
243,not_cyberbullying
245,not_cyberbullying
246,not_cyberbullying
249,not_cyberbullying
250,not_cyberbullying
251,not_cyberbullying
253,not_cyberbullying
255,not_cyberbullying
256,not_cyberbullying
258,not_cyberbullying
259,not_cyberbullying
260,not_cyberbullying
263,not_cyberbullying
265,not_cyberbullying
266,not_cyberbullying
267,not_cyberbullying
269,not_cyberbullying
271,not_cyberbullying
