row_id,cyberbullying_type
0,not_cyberbullying
1,not_cyberbullying
2,not_cyberbullying
3,not_cyberbullying
4,not_cyberbullying
5,not_cyberbullying
6,not_cyberbullying
7,not_cyberbullying
8,not_cyberbullying
9,not_cyberbullying
10,not_cyberbullying
11,not_cyberbullying
12,not_cyberbullying
13,not_cyberbullying
14,not_cyberbullying
15,not_cyberbullying
16,not_cyberbullying
17,not_cyberbullying
18,not_cyberbullying
19,not_cyberbullying
20,not_cyberbullying
21,not_cyberbullying
22,not_cyberbullying
23,not_cyberbullying
24,not_cyberbullying
25,not_cyberbullying
26,not_cyberbullying
27,not_cyberbullying
28,not_cyberbullying
29,not_cyberbullying
30,not_cyberbullying
31,not_cyberbullying
32,not_cyberbullying
33,not_cyberbullying
34,not_cyberbullying
35,not_cyberbullying
36,not_cyberbullying
37,not_cyberbullying
38,not_cyberbullying
39,not_cyberbullying
40,not_cyberbullying
41,not_cyberbullying
42,not_cyberbullying
43,not_cyberbullying
44,not_cyberbullying
45,not_cyberbullying
46,not_cyberbullying
47,not_cyberbullying
48,not_cyberbullying
49,not_cyberbullying
50,not_cyberbullying
51,not_cyberbullying
52,not_cyberbullying
53,not_cyberbullying
54,not_cyberbullying
55,not_cyberbullying
56,not_cyberbullying
57,not_cyberbullying
58,not_cyberbullying
59,not_cyberbullying
60,not_cyberbullying
61,not_cyberbullying
62,not_cyberbullying
63,not_cyberbullying
64,not_cyberbullying
65,not_cyberbullying
66,not_cyberbullying
67,not_cyberbullying
68,not_cyberbullying
69,not_cyberbullying
70,not_cyberbullying
71,not_cyberbullying
72,not_cyberbullying
73,not_cyberbullying
74,not_cyberbullying
75,not_cyberbullying
76,not_cyberbullying
77,not_cyberbullying
78,not_cyberbullying
79,not_cyberbullying
80,not_cyberbullying
81,not_cyberbullying
82,not_cyberbullying
83,not_cyberbullying
84,not_cyberbullying
85,not_cyberbullying
86,not_cyberbullying
87,not_cyberbullying
89,not_cyberbullying
90,not_cyberbullying
91,not_cyberbullying
92,not_cyberbullying
93,not_cyberbullying
94,not_cyberbullying
95,not_cyberbullying
96,not_cyberbullying
97,not_cyberbullying
98,not_cyberbullying
99,not_cyberbullying
100,not_cyberbullying
101,not_cyberbullying
102,not_cyberbullying
103,not_cyberbullying
104,not_cyberbullying
105,not_cyberbullying
106,not_cyberbullying
107,not_cyberbullying
108,not_cyberbullying
109,not_cyberbullying
110,not_cyberbullying
111,not_cyberbullying
112,not_cyberbullying
113,not_cyberbullying
114,not_cyberbullying
115,not_cyberbullying
116,not_cyberbullying
117,not_cyberbullying
118,not_cyberbullying
119,not_cyberbullying
120,not_cyberbullying
121,not_cyberbullying
122,not_cyberbullying
123,not_cyberbullying
124,not_cyberbullying
125,not_cyberbullying
126,not_cyberbullying
127,not_cyberbullying
128,not_cyberbullying
129,not_cyberbullying
130,not_cyberbullying
131,not_cyberbullying
132,not_cyberbullying
133,not_cyberbullying
134,not_cyberbullying
135,not_cyberbullying
136,not_cyberbullying
137,not_cyberbullying
138,not_cyberbullying
139,not_cyberbullying
140,not_cyberbullying
141,not_cyberbullying
142,not_cyberbullying
143,not_cyberbullying
144,not_cyberbullying
145,not_cyberbullying
146,not_cyberbullying
147,not_cyberbullying
148,not_cyberbullying
149,not_cyberbullying
150,not_cyberbullying
